location,TU.ID,TU.type,alt_TSS..TU.type...an.or.n.,genes,Sense.tags,genename,Annotation..cyanobase.,Entrez_GeneID,X15C,X42C,X.CO2,Darkness,X.Fe,Hl,X.N,X.P,Exp..p.,Stat..p.,Median
Chr,TU1192,gi,,1,sll0869,aat,Leu/Phe-tRNA-protein transferase,954236,240,867,1035,0,1072,983,1506,815,2909,45,925
Chr,TU3600,ga,,2,"sll0728, sll0729","accA, sll0729","acetyl-CoA carboxylase alpha subunit, probable DNA methyltransferase","951971, 952439",7861,934,5292,56,7099,6303,1882,5686,4535,1396,4913.5
Chr,TU2735,ga,,1,sll0053,accC,biotin carboxylase,952569,1486,233,671,37,1463,1447,188,1203,590,450,630.5
Chr,TU2220,ga,,1,sll0362,alaS,alanyl-tRNA synthetase,953136,1055,2568,2263,150,1554,1086,3162,1688,582,946,1320
Chr,TU384,ga,,2,"sll1017, sll1018","amt2, pyrC","ammonium/methylammonium permease, dihydroorotase","953571, 953570",192,0,153,0,279,78,3012,136,2138,45,144.5
Chr,TU2384,an,alt,0,slr0335,apcE,phycobilisome LCM core-membrane linker polypeptide,954931,17592,3969,17909,93,17584,10645,2484,32488,25808,9277,14114.5
Chr,TU2385,ga,,1,slr0335,apcE,phycobilisome LCM core-membrane linker polypeptide,954931,1965,1868,2512,168,3483,2835,2974,2833,6087,1486,2672.5
Chr,TU857,ga,,1,slr1898,argB,acetylglutamate kinase,953979,1390,33,211,19,664,452,3463,505,2827,90,478.5
Chr,TU3047,ga,,1,sll0080,argC,N-acetyl-gamma-glutamyl-phosphate reductase,952334,3020,567,2454,131,3070,2250,6964,3474,2337,1306,2395.5
Chr,TU638,ga,,1,slr1022,argD,acetylornithine aminotransferase,953780,2397,1067,2032,75,2406,1846,9072,2542,2957,495,2214.5
Chr,TU3688,g,,1,slr0585,argG,argininosuccinate synthetase,951914,3451,867,1860,19,7201,7533,13062,3804,18823,405,3627.5
Chr,TU1860,ga,,1,sll1883,argJ,arginine biosynthesis bifunctional protein ArgJ,954940,10642,1601,4142,19,5674,5301,11406,3105,6831,2432,4721.5
